Unnamed: 0	domain	subdomain	ko_KR	en_XX	category	pick_num	papago_en2ko	papago_ko2en	google_en2ko	google_ko2en	T5_ko2en	T5_en2ko
0	은행관련	ibk	"이 약관은 전자서명법(이하 ""법""이라 한다)에 의거 공인인증기관으로 지정받은사단법인 금융결제원(이하 ""결제원""이라 한다)이 제공하는 공인인증서비스(이하""yessign서비스""라 한다)를 이용함에 있어 결제원과 가입자ㆍ가입신청자․이용자의 권리, 의무 및 책임사항을 정함을 목적으로 한다."	"The purpose of this Agreement is to prescribe the rights, obligations, and responsibilities of the Korea Financial Telecommunications and Clearings Institute (hereinafter referred to as ""KFTC""), subscribers, applicants for subscription and users regarding the use of the certificate authentication service (hereinafter referred to as ""yessign service"") provided by KFTC as the designated certification authority pursuant to the Electronic Signature Act (hereinafter referred to as ""Act"")."	ibk	0	"이 약관은 금융결제원(이하 ""금융결제원""이라 한다)과 가입자, 가입신청자 및 이용자의 인증서 인증서비스(이하 ""yssign service""라 한다) 이용에 관한 권리, 의무 및 책임을 규정함을 목적으로 합니다.(이하 ""법""이라 한다)는 전자서명법(이하 ""법""이라 한다)에 따라 공정위가 지정인증기관으로 제공하는 기관이다."	"The purpose of this Agreement is to prescribe the rights, obligations and responsibilities of the payment source, subscriber, subscriber, and user in using the public certification service provided by the Financial Telecommunications and Clearance Institute (hereinafter referred to as the ""Act"")."	"이 약관은 공인인증서(이하 ""금융결제원""이라 한다), 가입자, 가입신청자 및 이용자의 권리·의무 및 책임사항을 규정함을 목적으로 합니다. 전자서명법(이하 ""법률""이라 한다)에 따라 지정인증기관으로 결제원이 제공하는 ""예사인 서비스""라 합니다."	"These Terms and Conditions use the accredited authentication service (hereinafter referred to as the ""yessign service"") provided by the Financial Telecommunications and Clearings Institute (hereinafter referred to as the ""KFTC), which has been designated as an accredited certification institution in accordance with the Electronic Signature Act (hereinafter referred to as the ""Act""). The purpose of this is to determine the rights, obligations and responsibilities of KFTC and subscribers, applicants for subscription, and users."	"The purpose of this Terms and Conditions is to prescribe the rights, obligations, and responsibilities of the payment institution, subscribers, applicants for subscription, and users in using the official certificatevis (hereinafter referred to as ""yessign service"") provided by the Korea Financial Telecommun"	"이 협약은 「전자서명법」(이하 “법”이라 한다)에 따라 금융결제원이 지정된 인증기관으로 제공하는 공인인증서 인증서비스(이하 ""인증서비스""라 한다)의 이용에 관한 한국전기통신정보원(이하 이같이 한다)과 가입자, 가입신청자 및 이용자의 권리·의무·책임을 규정"
1	은행관련	ibk	"1. ""가입자""라 함은 결제원으로부터 인증서를 발급받은 자를 말한다."	"1. ""Subscriber"" refers to a person who has received a certificate issued by KFTC."	ibk	0	"1. ""가입자""란 공정위가 발급한 인증서를 받은 자를 말한다."	"1. The term ""subscriber"" refers to a person who has received a certificate from the payment source."	"1. ""가입자""라 함은 결제원에서 발급하는 인증서를 발급받은 자를 말합니다."	"1. ""Subscriber"" means a person who has been issued a certificate by KFTC."	"1. The term ""subscriber"" means a person who has been issued a certificate from a payment source."	"1. 1. ""서증자""란 KFTC에서 발급한 증명서를 받은 자를 말한다."
2	은행관련	ibk	"2. ""가입신청자""라 함은 결제원으로부터 인증서를 발급받고자 하는 자를 말한다."	"2. ""The applicant for subscription"" refers to the person who intends to receive the certificate from KFTC."	ibk	0	"2. ""가입신청자""란 공정위로부터 인증서를 받으려는 자를 말한다."	"2. The term ""applicant for registration"" refers to a person who intends to obtain a certificate from the payment source."	"2. ""가입신청자""라 함은 결제원으로부터 인증을 받으려는 자를 말합니다."	"2. ""Applicant for subscription"" means a person who wants to receive a certificate from KFTC."	"2. The term ""applicant for subscription"" means a person who intends to obtain a certificate from the payment source."	"2. 2. ""청약신청자""란 KFTC로부터 증명서를 받고자 하는 자를 말한다."
3	은행관련	ibk	"3. ""이용자""라 함은 가입자 인증서의 유효성을 확인하거나, 가입자의 인증서클라우드서비스 이용을 위한 온라인 채널을 제공하는 자를 말한다."	3. “User” refers to a person who is verified for the validity of subscriber’s certificate or providing an online channel for using the Certificate cloud service.	ibk	0	"3. ""사용자""란 가입자의 인증서 유효성이 확인되거나 인증서 클라우드 서비스를 이용할 수 있는 온라인 채널을 제공하는 사람을 말합니다."	"3. The term ""user"" means a person who verifies the validity of the subscriber certificate or provides an online channel for the use of the subscriber's certificate cloud service."	3. “이용자”라 함은 가입자의 인증서의 유효성을 확인하거나 인증서 클라우드 서비스를 이용할 수 있는 온라인 채널을 제공하는 자를 말합니다.	"3. ""User"" means a person who verifies the validity of a subscriber's certificate or provides an online channel for the subscriber's use of the certificate cloud service."	"3. The term ""user"" means a person who confirms the validity of a subscriber certificate or provides an online channel for the user's use of a certificate cloud service."	3. 3. “사용자”란 가입자의 인증서의 유효성을 검증하거나 공인인증서 클라우드 서비스를 이용하기 위한 온라인 채널을 제공하는 자를 말한다.
4	은행관련	ibk	"4. ""등록대행기관""이라 함은 결제원을 대신하여 가입자 및 가입신청자의 신원을확인하고 인증서 발급, 효력정지 또는 폐지 등의 신청을 접수ㆍ등록하는 자를말한다."	"4. ""Registration Authority"" refers to an institution which verifies the identity of a subscriber and applicant for subscription and receives and registers applicants for certificate issuance, suspension, or revocation on behalf of KFTC."	ibk	0	"4. ""등록기관""이란 공정위를 대신하여 가입자와 가입신청자의 신분을 확인하고 인증서 발급, 정지, 해지 신청자를 접수하여 등록하는 기관을 말한다."	"4. The term ""registration agency"" means a person who verifies the identity of a subscriber and an applicant for subscription on behalf of a payment source and receives and registers an application for issuance of a certificate, suspension of effect, or abolition."	"4. ""등록기관""이라 함은 결제원을 대행하여 가입자 및 가입신청자의 신원을 확인하고 인증서의 발급, 정지, 취소 등의 신청인을 접수ㆍ등록하는 기관을 말합니다."	"4. ""Registration agency"" means a person who confirms the identity of subscribers and subscription applicants and receives and registers applications for certificate issuance, suspension or revocation, etc. on behalf of KFTC."	"4. The term ""registration agency"" means a person who confirms the identity of a subscriber and an applicant for subscription on behalf of a payment provider and receives and registers applications for issuance of certificates, suspension of effect, or abolition."	4. 네. “등록기관”이란 가입자 및 가입신청자의 신원을 검증하고, 발급·정지·취소 신청자를 KFTC를 대신해 접수·등록하는 기관을 말한다.
5	은행관련	ibk	"5. ""yessign 인증업무준칙""(이하 ""준칙""이라 한다)이라 함은 결제원이 법에따라 공인인증서비스의 종류, 수행방법 및 절차, 이용 조건 및 요금 등yessign서비스에 관한 전반적인 사항을 정하여 주무관청에 신고한 지침을말한다."	"5. ""yessign Certification Practice Statement(hereinafter referred to as ""Statement"")"" refers to the set of guidelines, which are prescribed by KFTC in accordance to the Act and submitted to the Competent authority, covering overall matters related to the yessign service such as types of certificate authentication service, service methods and procedures, and service conditions and fees, etc."	ibk	0	"5. ""Yesign 인증실천서(이하 ""명세서""라 한다)""란 공정위가 법에 따라 규정하여 주관기관에 제출하는 일련의 지침으로, 인증서 인증 서비스의 종류, 서비스 방법, 절차 등 yesign 서비스와 관련된 전반적인 사항을 포괄한다.요점, 서비스 조건 및 수수료 등"	"5. The term ""yessign certification business rules"" (hereinafter referred to as ""rules"") refers to guidelines that the payment center has reported to the competent authority by determining overall matters concerning the type, method, procedure, conditions of use, and charges of certified services in accordance with the law."	"5. ""yessign 인증업무준칙(이하 ""진술서""라 한다)""이라 함은 법에 따라 결제원이 정하여 주무관청에 제출하는 지침으로서 yessign 서비스에 관한 제반 사항을 다룬다. 인증서 인증 서비스의 종류, 서비스 방법 및 절차, 서비스 조건 및 수수료 등"	"5. ""yessign certification business rules"" (hereinafter referred to as ""rules"") refers to the competent authority after KFTC determines the overall matters regarding the yessign service, such as the types of accredited certification services, methods and procedures, conditions of use and fees, in accordance with the Act. guidelines reported to"	"5. The term ""yessign certification work rules"" (hereinafter referred to as the ""rules"") means guidelines reported to the competent authority by the payment agency in accordance with the Act on the overall matters concerningyessign services, such as types, methods and procedures for performing public certificates, conditions for use"	5. 5.5. “예임인증실무서(이하 “서”라 한다)”란 법령에 따라 공정위에서 규정하여 능력당국에 제출한 지침의 집합으로, 자격증 인증서비스의 종류, 서비스방법 및 절차, 서비스조건 및 수수료 등 예임서비스와 관련된 전반적인 사항을 포괄한다.
6	은행관련	ibk	"6. ""사고정보""라 함은 전자금융사고 또는 인증서 유출 등이 발생한 기기정보(IP 및 MAC 주소 등) 및 개인정보(이름, 주민등록번호 등)를 말한다."	6. “Accident Information” refers to the equipment information (IP and MAC addresses and the like) and personal information (name and resident registration number and the like) of which experienced electronic financial accidents or leakage of certificate, etc.	ibk	0	"6. ""사고정보""란 전자금융사고 또는 인증서 유출 등을 경험한 장비정보(IP 및 MAC 주소 등)와 개인정보(이름 및 주민등록번호 등)를 말합니다."	"6. The term ""accident information"" means device information (IP and MAC address, etc.) and personal information (name, resident registration number, etc.) in which an electronic financial accident or certificate leakage occurred."	6. “사고정보”라 함은 전자금융사고 또는 증명서 유출 등을 겪은 설비정보(IP, MAC주소 등) 및 개인정보(성명, 주민등록번호 등)를 말합니다.	"6. ""Accident information"" refers to device information (IP and MAC address, etc.) and personal information (name, resident registration number, etc.) where an electronic financial accident or certificate leak occurred."	"6. The term "" accident information"" means device information (IP and MAC addresses, etc.) and personal information (name, resident registration number, etc."") that have occurred in an electronic financial accident or leakage of certificates."	6. 6. ‘사고정보’란 전자금융사고나 공인인증서 유출 등을 경험한 장비정보(IP·MAC 주소 등)와 개인정보(명·주민등록번호 등)를 말한다.
7	은행관련	ibk	"7. ""단말기 지정""이라 함은 단말기(PC, 스마트폰 등)의 기기정보를 등록대행기관에 등록하고, 인증서 발급 시 가입신청자가 등록한 단말기인지 여부를확인하여 가입신청자의 신원을 확인하는 방법을 말한다."	"7. ""Device designation"" refers to the method of registering the device information (e.g., the information of PC, smartphone, etc) with Registration Authority, verifying whether the device was registered by the applicant for subscription for the issuance of certificate."	ibk	0	"7. ""기기 지정""이란 기기정보(예: PC, 스마트폰 등의 정보)를 등록기관에 등록하여 기기등록신청자가 증명서 발급을 위해 등록하였는지 여부를 확인하는 방법을 말한다."	"7. The term ""terminal designation"" means a method of registering device information of a terminal (PC, smartphone, etc.) with a registration agency and verifying the identity of the applicant by checking whether the applicant is registered when issuing a certificate."	"7. ""기기지정""이라 함은 기기정보(예: PC, 스마트폰 등의 정보)를 등록기관에 등록하여 인증서 발급을 위한 가입신청자가 기기를 등록했는지 확인하는 방법을 말합니다."	"7. ""Terminal designation"" refers to the method of registering the device information of the terminal (PC, smart phone, etc.) with a registration agency and confirming the identity of the subscription applicant by checking whether the terminal is registered by the subscription applicant when issuing a certificate. say"	"7. The term ""system designation"" means a method of registering device information of a terminal (PC, smartphone, etc.) with a registration agency, and verifying whether the applicant is a registered terminal when issuing a certificate, thereby verifying the identity of the applicant."	7. 7. “단말기 지정”이란 단말기 정보(예를 들어, PC, 스마트폰 등의 정보)를 등록기관에 등록하여 인증서 발급 신청자가 단말기를 등록했는지 확인하는 방식을 말한다.
8	은행관련	ibk	"8. ""추가인증""이라 함은 휴대폰 SMS인증, 2채널 인증 등과 같이 단말기 지정이외의 수단으로 가입신청자의 신원을 확인하는 방법을 말한다."	"8. ""Additional certification"" refers to verifying the identity of the applicant for subscription by using the method other than that for device designation such as mobile phone SMS certification, 2-channel certification, etc."	ibk	0	"8. ""추가인증""이란 휴대전화 문자메시지 인증, 2채널 인증 등 기기 지정 이외의 방법으로 가입신청자의 신원을 확인하는 것을 말한다."	"8. The term ""additional authentication"" refers to a method of verifying the identity of an applicant for subscription by means other than terminal designation, such as mobile phone SMS authentication and two-channel authentication."	"8. ""추가인증""이라 함은 휴대폰 SMS인증, 2채널인증 등 기기지정 이외의 방법으로 가입신청자 본인임을 확인하는 것을 말합니다."	"8. ""Additional authentication"" refers to a method of verifying the identity of the subscriber by means other than terminal designation, such as mobile phone SMS authentication and two-channel authentication."	"8. The term ""additional authentication"" means a method of verifying the identity of an applicant for subscription by means other than the designation of a terminal, such as mobile phone SMS authentication and two-channel authentication."	8. 8. 여덟. '추가 인증'이란 휴대폰 SMS 인증, 2채널 인증 등 기기 지정 이외의 방법으로 가입 신청자의 신원을 확인하는 것을 말한다.
9	은행관련	ibk	"9. ""2채널 인증""이라 함은 서로 다른 두 가지 이상의 통신경로를 이용하여가입신청자의 신원을 확인하는 방법을 말한다."	"9. ""2-channel certification"" refers to verifying the identity of the applicant for subscription by using more than two(2) different communication methods."	ibk	0	"9. ""2채널 인증""이란 2개 이상의 서로 다른 통신수단을 이용하여 가입신청자의 신분을 확인하는 것을 말한다."	"9. The term ""two-channel authentication"" refers to a method of verifying the identity of an applicant for subscription using two or more different communication channels."	"9. ""2채널 인증""이라 함은 2가지 이상의 서로 다른 통신방식을 이용하여 가입신청자의 본인임을 확인하는 것을 말합니다."	"9. ""Two-channel authentication"" refers to a method of verifying the identity of an applicant for subscription using two or more different communication paths."	"9. The term ""two-channel authentication"" means a method of verifying the identity of an applicant for subscription using two or more different communication routes."	9. 9. 2채널 인증이란 2개(2) 이상의 서로 다른 통신 방식을 사용하여 청약 신청자의 신원을 확인하는 것을 말한다.
