domain,count,mean,std,min,25%,50%,75%,max
-,8.0,20.75,8.972179222463181,6.0,19.0,24.5,25.75,28.0
IT,5722.0,27.193114295700806,7.646964897154057,10.0,22.0,26.0,32.0,68.0
SF드라마,332.0,14.0,5.379270944211555,4.0,10.0,13.0,16.0,48.0
개인 신상,1478.0,11.134641407307171,4.371400742890047,4.0,8.0,10.0,14.0,33.0
건강과 미용,12939.0,12.25117860731123,5.335980742789453,3.0,9.0,11.0,15.0,60.0
검찰,2846.0,32.984188334504566,10.997783583623354,9.0,24.0,32.0,40.0,75.0
경제,1157.0,28.916162489196196,8.296352836149083,13.0,23.0,28.0,33.0,86.0
골프,2818.0,25.875798438608943,10.123562659842863,8.0,18.0,24.0,31.0,76.0
공공 서비스,1985.0,11.359697732997482,4.24294812359948,3.0,8.0,11.0,14.0,32.0
공상과학,497.0,13.961770623742455,5.132964629804968,4.0,10.0,13.0,17.0,33.0
공연.전시,666.0,28.944444444444443,10.981799326968746,8.0,20.0,27.0,36.75,81.0
교육,11324.0,13.682797598021901,7.242683889691701,2.0,9.0,12.0,16.0,62.0
교통,1810.0,11.362983425414365,4.158052115603737,3.0,8.0,11.0,14.0,30.0
국회,1773.0,34.83361534122955,11.61321531912426,9.0,26.0,34.0,43.0,73.0
글로벌,7905.0,27.66818469323213,7.739370473115699,10.0,22.0,27.0,32.0,70.0
금융·증권,1294.0,28.27434312210201,7.844861185258382,11.0,22.0,27.0,33.0,61.0
기타,470.0,29.53404255319149,11.533667720443718,7.0,21.0,29.0,37.0,65.0
기획취재,1020.0,28.716666666666665,11.08204378585937,9.0,20.0,26.0,36.0,68.0
기후,1702.0,11.818448883666274,4.2253469852578585,3.0,9.0,11.0,14.0,37.0
대인 관계,23366.0,14.872549858769151,8.487254460199539,3.0,9.0,13.0,18.0,84.0
도서,271.0,27.84870848708487,9.651098008530482,11.0,20.0,26.0,35.0,58.0
드라마,457.0,14.321663019693654,5.8941160699331645,4.0,10.0,13.0,18.0,44.0
로맨스,1374.0,13.632459970887918,5.708721958425984,3.0,10.0,12.0,16.0,48.0
문화,215.0,29.274418604651164,10.77701112101384,10.0,20.5,28.0,37.0,66.0
문화재,218.0,34.555045871559635,11.490697389435594,12.0,25.25,34.5,42.75,68.0
바둑,285.0,26.010526315789473,9.685725016136555,8.0,19.0,25.0,31.0,59.0
반려동물,317.0,33.57413249211356,11.268796938925854,10.0,26.0,33.0,41.0,76.0
법원,4977.0,33.92927466345188,11.233518694476407,7.0,25.0,33.0,42.0,76.0
법조,76.0,34.28947368421053,13.026962592483518,14.0,27.75,31.5,41.0,85.0
부동산,658.0,29.095744680851062,8.137981313296637,12.0,23.0,28.5,34.0,66.0
북한·국방,992.0,33.979838709677416,10.813602674381375,10.0,25.75,33.0,42.0,71.0
사건·사고,4371.0,30.875543353923586,10.602386238732818,7.0,23.0,30.0,38.0,74.0
사회,874.0,13.035469107551487,4.779190820626536,3.0,10.0,12.0,16.0,40.0
산업,6130.0,28.30995106035889,8.260672879837998,10.0,22.0,27.0,33.0,71.0
생활경제,2811.0,28.478477410174314,8.101127900982913,10.0,23.0,27.0,33.0,62.0
쇼핑,19688.0,10.980648110524177,4.4673267767200535,3.0,8.0,10.0,13.0,53.0
스릴러,2989.0,13.946804951488792,6.242171589576052,3.0,10.0,13.0,17.0,59.0
스포츠,1317.0,27.278663629460898,9.185389252522482,9.0,20.0,26.0,33.0,73.0
식음료,23406.0,10.869990600700675,4.34366148091631,2.0,8.0,10.0,13.0,53.0
여가와 오락,19257.0,12.384847068598432,5.941634216019204,2.0,9.0,11.0,15.0,84.0
여행,22983.0,12.310490362441804,6.5370500433481045,3.0,8.0,11.0,14.0,73.0
여행·레저,646.0,29.278637770897834,10.181594977261163,11.0,22.0,28.0,36.0,61.0
영화,2456.0,28.450325732899024,10.044827016530542,9.0,20.0,27.0,35.0,64.0
예술,1479.0,11.991886409736308,4.362615092403105,4.0,9.0,11.0,15.0,31.0
외교,378.0,33.36243386243386,10.439334226874276,11.0,26.0,33.0,41.0,59.0
일과 직업,8362.0,12.517220760583593,5.515610710794757,3.0,9.0,12.0,15.0,67.0
일반,58507.0,12.44733108858769,6.922892646856186,2.0,8.0,11.0,14.0,78.0
전문 분야,6186.0,12.01907533139347,4.536669049513905,3.0,9.0,11.0,15.0,46.0
전쟁,370.0,13.324324324324325,4.9009376573905685,4.0,10.0,13.0,16.0,34.0
주거와 환경,534.0,11.357677902621722,4.398678703324786,4.0,8.0,11.0,14.0,27.0
탐사보도,13.0,29.384615384615383,8.005607009449289,15.0,25.0,29.0,36.0,41.0
판타지,470.0,13.014893617021277,5.799583792264633,4.0,9.0,12.0,15.0,45.0
호텔.리조트,575.0,27.276521739130434,9.856729164983873,6.0,20.0,26.0,33.0,64.0
