domain,count,mean,std,min,25%,50%,75%,max
-,8.0,17.0,7.819389819088006,5.0,12.75,19.0,23.25,25.0
IT,5722.0,21.427822439706397,5.968581297984034,9.0,17.0,21.0,25.0,50.0
SF드라마,332.0,11.02710843373494,4.324019901556019,4.0,8.0,10.0,13.0,30.0
개인 신상,1478.0,8.816644113667119,3.39154535997635,3.0,6.0,8.0,11.0,25.0
건강과 미용,12939.0,9.791328541618363,4.002053374857543,3.0,7.0,9.0,11.0,52.0
검찰,2846.0,26.620168657765284,9.29217979725693,7.0,20.0,26.0,33.0,78.0
경제,1157.0,23.420916162489196,6.895287859230412,10.0,19.0,22.0,27.0,63.0
골프,2818.0,23.49041873669269,9.554734450016225,7.0,17.0,21.0,28.0,85.0
공공 서비스,1985.0,9.5088161209068,3.1738993296225853,3.0,7.0,9.0,11.0,27.0
공상과학,497.0,10.917505030181086,3.870280087554884,4.0,8.0,10.0,13.0,28.0
공연.전시,666.0,25.114114114114113,9.919474832033668,7.0,18.0,24.0,32.0,78.0
교육,11324.0,10.944189332391382,5.6135577895813995,2.0,7.0,10.0,13.0,55.0
교통,1810.0,9.62486187845304,3.157053683055555,3.0,7.0,9.0,11.0,25.0
국회,1773.0,28.70276367738297,9.786270051585667,7.0,21.0,28.0,35.0,73.0
글로벌,7905.0,21.950790638836178,6.22937749071895,6.0,17.0,21.0,26.0,53.0
금융·증권,1294.0,23.080370942812984,6.518795564260424,10.0,18.0,22.0,27.0,51.0
기타,470.0,24.26595744680851,9.239499349448678,6.0,17.0,24.0,31.0,58.0
기획취재,1020.0,23.323529411764707,8.758186149324498,8.0,17.0,22.0,29.0,55.0
기후,1702.0,9.472385428907169,3.2119158394767475,3.0,7.0,9.0,11.0,26.0
대인 관계,23366.0,11.464349910125824,6.241346857185775,2.0,7.0,10.0,14.0,60.0
도서,271.0,23.04428044280443,8.892666274059838,9.0,17.0,21.0,27.5,66.0
드라마,457.0,11.551422319474836,4.344042496271535,4.0,8.0,11.0,14.0,30.0
로맨스,1374.0,10.85735080058224,4.365330601199298,3.0,8.0,10.0,13.0,37.0
문화,215.0,25.218604651162792,8.931391028695076,11.0,18.0,24.0,31.0,67.0
문화재,218.0,28.371559633027523,9.815557966896057,10.0,20.25,28.0,35.0,54.0
바둑,285.0,24.385964912280702,9.977711756719222,10.0,17.0,22.0,30.0,59.0
반려동물,317.0,28.646687697160882,10.294159125212525,9.0,21.0,28.0,34.0,75.0
법원,4977.0,27.474181233674905,9.397258488505274,7.0,20.0,26.0,34.0,69.0
법조,76.0,26.842105263157894,10.208561938006023,12.0,20.0,24.5,32.25,53.0
부동산,658.0,23.80851063829787,6.701492636890047,11.0,19.0,23.0,28.0,49.0
북한·국방,992.0,28.01108870967742,8.85315099652656,9.0,21.0,28.0,34.0,63.0
사건·사고,4371.0,25.374056280027453,8.685470362580109,7.0,19.0,24.0,31.0,64.0
사회,874.0,9.98512585812357,3.7144352687299436,3.0,7.0,10.0,12.0,31.0
산업,6130.0,22.9257748776509,6.680128693516327,7.0,18.0,22.0,27.0,56.0
생활경제,2811.0,23.011028103877624,6.671676418862049,9.0,18.0,22.0,27.0,53.0
쇼핑,19688.0,9.043681430312882,3.3377494880138436,2.0,7.0,8.0,11.0,47.0
스릴러,2989.0,11.040816326530612,4.697724405968506,3.0,8.0,10.0,13.0,41.0
스포츠,1317.0,23.80637813211845,8.354858915338147,8.0,18.0,22.0,29.0,79.0
식음료,23406.0,9.080876698282491,3.2379393517936825,3.0,7.0,9.0,11.0,42.0
여가와 오락,19257.0,10.002959962610998,4.545840646495024,2.0,7.0,9.0,12.0,63.0
여행,22983.0,10.151416264195275,5.207273984503896,2.0,7.0,9.0,12.0,61.0
여행·레저,646.0,24.012383900928793,7.99339852907633,9.0,18.0,23.0,29.0,52.0
영화,2456.0,24.493078175895764,8.905520892925583,7.0,17.0,23.0,30.0,82.0
예술,1479.0,9.650439486139284,3.195721642476627,2.0,7.0,9.0,12.0,22.0
외교,378.0,28.99206349206349,9.37361500863864,10.0,22.0,28.0,35.75,64.0
일과 직업,8362.0,10.138124850514231,4.108000569098713,3.0,8.0,9.0,12.0,56.0
일반,58507.0,10.063496675611466,5.635156100105392,2.0,7.0,9.0,11.0,65.0
전문 분야,6186.0,9.404946653734239,3.339593899001781,2.0,7.0,9.0,11.0,41.0
전쟁,370.0,10.55945945945946,3.880041310892549,4.0,8.0,10.0,13.0,30.0
주거와 환경,534.0,9.627340823970037,3.326182680936312,4.0,7.0,9.0,12.0,21.0
탐사보도,13.0,26.692307692307693,8.498868702996255,14.0,22.0,27.0,34.0,40.0
판타지,470.0,10.65531914893617,4.555313142880136,2.0,8.0,10.0,12.0,32.0
호텔.리조트,575.0,23.358260869565218,8.323615522558006,5.0,17.0,22.0,29.0,58.0
