domain,count,mean,std,min,25%,50%,75%,max
-,8.0,3.625,1.407885953173359,2.0,2.75,3.5,4.25,6.0
IT,5722.0,7.212687871373646,3.8763477870025262,1.0,4.0,7.0,9.0,34.0
SF드라마,332.0,2.6234939759036147,1.3817287947347883,1.0,2.0,2.0,3.0,9.0
개인 신상,1478.0,1.8058186738836266,0.9712418532885015,1.0,1.0,2.0,2.0,8.0
건강과 미용,12939.0,1.9851611407373058,0.9778482873499542,1.0,1.0,2.0,2.0,12.0
검찰,2846.0,7.021082220660576,3.9033460958552277,1.0,4.0,6.0,9.0,31.0
경제,1157.0,6.847882454624028,3.777921119633274,1.0,4.0,6.0,9.0,38.0
골프,2818.0,9.039389638041165,6.039058402879477,1.0,5.0,8.0,12.0,79.0
공공 서비스,1985.0,1.9340050377833753,0.9858767436163813,1.0,1.0,2.0,2.0,10.0
공상과학,497.0,2.5814889336016096,1.3190215843182587,1.0,2.0,2.0,3.0,10.0
공연.전시,666.0,7.315315315315315,5.017830430699488,1.0,4.0,6.0,10.0,40.0
교육,11324.0,2.1699929353585308,1.5153768525224078,1.0,1.0,2.0,3.0,29.0
교통,1810.0,1.9845303867403314,1.0274203181424668,1.0,1.0,2.0,2.0,11.0
국회,1773.0,7.294980259447264,4.290964134999193,1.0,4.0,7.0,9.0,34.0
글로벌,7905.0,7.145224541429475,3.7524499794783024,1.0,4.0,7.0,9.0,26.0
금융·증권,1294.0,7.794435857805255,4.398843265142398,1.0,4.0,7.0,10.0,33.0
기타,470.0,7.006382978723404,3.5114739890577376,1.0,4.25,7.0,9.0,22.0
기획취재,1020.0,5.713725490196079,3.5184091556264083,1.0,3.0,5.0,7.0,25.0
기후,1702.0,1.8754406580493537,0.8927144594537774,1.0,1.0,2.0,2.0,6.0
대인 관계,23366.0,2.195454934520243,1.3255196109420309,1.0,1.0,2.0,3.0,18.0
도서,271.0,6.029520295202952,4.709235936154013,1.0,3.0,5.0,7.5,32.0
드라마,457.0,2.719912472647702,1.3113445594982545,1.0,2.0,2.0,3.0,9.0
로맨스,1374.0,2.7023289665211063,1.4863429135285708,1.0,2.0,2.0,4.0,12.0
문화,215.0,8.069767441860465,4.1298737780105945,1.0,5.0,8.0,10.0,21.0
문화재,218.0,8.307339449541285,5.436863531002956,1.0,5.0,7.0,11.0,38.0
바둑,285.0,9.571929824561403,6.44417398158346,1.0,5.0,8.0,12.0,39.0
반려동물,317.0,7.905362776025236,4.3001180743579726,1.0,5.0,7.0,10.0,26.0
법원,4977.0,7.336347197106691,4.089605156493911,1.0,4.0,7.0,10.0,36.0
법조,76.0,8.263157894736842,4.398085707979875,2.0,5.0,7.0,10.0,23.0
부동산,658.0,8.120060790273556,4.558016871899236,1.0,5.0,7.0,11.0,27.0
북한·국방,992.0,6.676411290322581,3.7199014808782924,1.0,4.0,6.0,9.0,24.0
사건·사고,4371.0,7.295813315030886,4.100636591302371,1.0,4.0,7.0,9.0,30.0
사회,874.0,2.0812356979405036,1.0471322674905779,1.0,1.0,2.0,3.0,7.0
산업,6130.0,7.576019575856444,4.078585897916674,1.0,4.0,7.0,10.0,33.0
생활경제,2811.0,7.5108502312344365,4.0725807860687055,1.0,5.0,7.0,10.0,35.0
쇼핑,19688.0,1.885412433969931,0.9571372264154635,1.0,1.0,2.0,2.0,10.0
스릴러,2989.0,3.078621612579458,1.8653218693798728,1.0,2.0,3.0,4.0,13.0
스포츠,1317.0,8.5125284738041,5.165133523564313,1.0,5.0,7.0,11.0,38.0
식음료,23406.0,1.9929078014184398,1.04973161024001,1.0,1.0,2.0,2.0,13.0
여가와 오락,19257.0,2.0130861504907305,1.1592796400625436,1.0,1.0,2.0,2.0,17.0
여행,22983.0,2.1971457163990777,1.5981743342441284,1.0,1.0,2.0,3.0,25.0
여행·레저,646.0,6.510835913312693,4.03923090165811,1.0,4.0,6.0,9.0,26.0
영화,2456.0,7.947475570032573,4.473694297948922,1.0,5.0,7.0,10.0,35.0
예술,1479.0,1.9621365787694387,1.0686451555490293,1.0,1.0,2.0,2.0,9.0
외교,378.0,7.132275132275132,3.847692561278429,1.0,4.0,6.0,9.0,20.0
일과 직업,8362.0,2.0165032288926095,1.0420946765835908,1.0,1.0,2.0,2.0,11.0
일반,58507.0,2.26873707419625,2.1605382339444734,1.0,1.0,2.0,2.0,36.0
전문 분야,6186.0,1.937762689945037,0.9615938193983293,1.0,1.0,2.0,2.0,10.0
전쟁,370.0,3.118918918918919,1.7536393188500063,1.0,2.0,3.0,4.0,11.0
주거와 환경,534.0,1.857677902621723,0.9716270570979888,1.0,1.0,2.0,2.0,8.0
탐사보도,13.0,5.230769230769231,3.1925393799149435,2.0,3.0,4.0,6.0,12.0
판타지,470.0,2.8404255319148937,1.7830234228482873,1.0,1.0,2.0,4.0,11.0
호텔.리조트,575.0,7.078260869565217,4.156661724438301,1.0,4.0,7.0,9.0,23.0
