domain,count,mean,std,min,25%,50%,75%,max
-,8.0,24.875,10.696294418428948,8.0,19.75,27.5,32.75,36.0
IT,5722.0,32.40387976232087,9.043889119670416,11.0,26.0,31.0,38.0,80.0
SF드라마,332.0,14.484939759036145,5.745594581595359,6.0,11.0,13.0,17.0,42.0
개인 신상,1478.0,12.228687415426252,4.614503030857323,4.0,9.0,11.0,15.0,34.0
건강과 미용,12939.0,13.583893654841951,5.479508923507108,4.0,10.0,12.0,16.0,71.0
검찰,2846.0,42.371047083626145,14.586391017323662,11.0,31.0,41.0,52.0,104.0
경제,1157.0,36.4304235090752,10.770315522155443,14.0,29.0,35.0,42.0,91.0
골프,2818.0,32.07274662881476,12.494430238572045,8.0,23.0,29.0,39.0,90.0
공공 서비스,1985.0,13.697229219143576,4.370737252846481,5.0,11.0,13.0,16.0,39.0
공상과학,497.0,14.29175050301811,5.379676543419623,5.0,10.0,13.0,17.0,49.0
공연.전시,666.0,38.81531531531532,15.94522031214001,11.0,27.0,36.5,48.0,143.0
교육,11324.0,15.564023313316849,8.213172510878007,4.0,10.0,13.0,18.0,91.0
교통,1810.0,12.808839779005526,4.106235639137331,5.0,10.0,12.0,15.0,37.0
국회,1773.0,44.07501410039481,14.933619545642633,12.0,32.0,43.0,55.0,104.0
글로벌,7905.0,33.56204933586338,9.727146831204129,12.0,27.0,32.0,39.0,88.0
금융·증권,1294.0,35.21097372488408,10.30934536405437,13.0,28.0,34.0,41.0,91.0
기타,470.0,37.172340425531914,14.291590294509687,11.0,26.0,35.5,47.0,80.0
기획취재,1020.0,36.68529411764706,13.892761136076134,11.0,26.0,34.0,44.0,99.0
기후,1702.0,12.527027027027026,4.146937896727674,4.0,10.0,12.0,15.0,31.0
대인 관계,23366.0,16.31853975862364,8.875499783570273,3.0,10.0,14.0,19.0,83.0
도서,271.0,35.88560885608856,13.722575866950693,13.0,26.0,34.0,43.0,88.0
드라마,457.0,14.669584245076587,5.678349776688462,5.0,11.0,14.0,18.0,37.0
로맨스,1374.0,13.624454148471616,5.872536494588218,4.0,10.0,12.0,16.0,50.0
문화,215.0,37.15348837209302,13.748735691018998,15.0,26.5,36.0,44.0,91.0
문화재,218.0,42.95412844036697,15.085247972099777,16.0,31.25,42.0,53.0,89.0
바둑,285.0,33.463157894736845,12.755675781410972,12.0,24.0,30.0,41.0,84.0
반려동물,317.0,44.208201892744476,15.70175539197736,14.0,32.0,43.0,55.0,113.0
법원,4977.0,42.79405264215391,14.43947273905647,13.0,32.0,41.0,52.0,103.0
법조,76.0,41.61842105263158,16.756266175384983,17.0,30.0,38.5,47.25,108.0
부동산,658.0,35.378419452887535,10.026052331398922,16.0,28.0,34.0,41.0,74.0
북한·국방,992.0,42.82560483870968,13.777415733574951,14.0,32.0,42.0,52.0,93.0
사건·사고,4371.0,37.86341798215511,13.287762651331162,12.0,28.0,36.0,46.0,98.0
사회,874.0,14.606407322654462,4.919117173585178,5.0,11.0,14.0,17.0,38.0
산업,6130.0,34.70163132137031,10.320111254751872,12.0,27.0,33.0,41.0,86.0
생활경제,2811.0,35.34436143721096,10.615181804535332,13.0,28.0,34.0,41.0,83.0
쇼핑,19688.0,12.477346607070297,4.524664725320072,3.0,9.0,12.0,15.0,66.0
스릴러,2989.0,15.049514887922381,6.753616508407404,4.0,10.0,13.0,18.0,60.0
스포츠,1317.0,34.004555808656036,11.861471582574223,12.0,25.0,32.0,41.0,95.0
식음료,23406.0,12.061565410578485,4.322979956421908,4.0,9.0,11.0,14.0,56.0
여가와 오락,19257.0,13.816793893129772,6.266240424007245,3.0,10.0,13.0,16.0,92.0
여행,22983.0,14.055562807292347,7.940328886809248,4.0,10.0,12.0,16.0,93.0
여행·레저,646.0,36.256965944272444,12.934500685744931,10.0,26.0,34.0,44.0,100.0
영화,2456.0,36.71294788273616,13.122183581165606,9.0,26.0,35.0,46.0,100.0
예술,1479.0,13.897903989181879,4.542207970715681,4.0,11.0,13.0,17.0,33.0
외교,378.0,42.817460317460316,13.437191031488817,14.0,32.0,42.0,52.0,85.0
일과 직업,8362.0,14.827433628318584,5.912348512688828,3.0,11.0,14.0,17.0,80.0
일반,58507.0,14.052130514297435,8.26230799849908,3.0,9.0,12.0,16.0,103.0
전문 분야,6186.0,13.665050113158745,4.811868643665457,3.0,10.0,13.0,16.0,54.0
전쟁,370.0,13.405405405405405,4.882130790414494,6.0,10.0,13.0,16.0,38.0
주거와 환경,534.0,13.196629213483146,4.482267319537946,5.0,10.0,13.0,16.0,33.0
탐사보도,13.0,38.53846153846154,10.790546669928148,21.0,32.0,40.0,47.0,57.0
판타지,470.0,13.882978723404255,6.198315306877311,4.0,10.0,12.0,16.0,53.0
호텔.리조트,575.0,33.66086956521739,12.837965633692784,9.0,24.0,32.0,41.5,95.0
